title,text,author,source_domain
Mùa thu Toronto nhớ về những chiến hữu trên đường Đông Tiến,"Năm nay, bên cạnh những khuôn mặt thân quen, tôi còn nhìn thấy những gương mặt trẻ, những người lần đầu đến nơi này. Có lẽ họ cũng giống tôi lần đầu tới đây. Trong ánh mắt họ, tôi thấy sự tò mò, nhưng cũng bao gồm cả sự trân trọng cho những người lính đã ngã xuống. Những người “mang gươm đi mở cõi” trong văn chương, chí lớn chưa thành nhưng hồn tử sĩ vẫn làm hậu thế ngả mũ cúi chào.",Minh Nhật ,viettan.org
Vận động cho nhân quyền Việt Nam tại Quốc hội Hoa Kỳ,"Một phái đoàn của Việt Tân đã đến Quốc hội Hoa Kỳ, hôm 17 tháng 6 năm 2024, kêu gọi các nhà dân cử Mỹ lưu tâm đến tình trạng của các tù nhân lương tâm tại Việt Nam và tình trạng kiểm duyệt mạng xã hội Facebook.",Ban Biên Tập Việt Tân,viettan.org
Hãy là ngọn gió đổi thay!,"Cộng Sản biến đất nước ta thành một bãi rác đạo đức khổng lồ, hôi tanh và thầy Minh Tuệ là một cơn gió thoảng mang lại một chút không khí trong lành cho đất nước.Đảng Cộng Sản có thể sẽ dập tắt hiện tượng Minh Tuệ, nhưng tinh thần Minh Tuệ sẽ sống mãi nếu mỗi người chúng ta hãy tự thay đổi mình để trở thành một Minh Tuệ, để giữ cho ngọn lửa Minh Tuệ sáng mãi trong tâm thức của người dân Việt Nam.",Trần Nghị,viettan.org
Hội nghị Thượng đỉnh Geneva về Nhân quyền và Dân chủ kỳ thứ 16,"Ngày 15/5/2024, tại Geneva, Thụy Sĩ đã diễn ra Hội nghị Thượng đỉnh về Nhân quyền và Dân chủ kỳ thứ 16 (The 16th Annual Geneva Summit for Human Rights and Democracy).Mục đích của Hội nghị Thượng đỉnh về Nhân quyền và Dân chủ là đề cập đến tình trạng nhân quyền và đặc biệt là để hướng cộng đồng thế giới quan tâm đến một số trường hợp cần phải có sự can thiệp nhanh chóng để giảm đi những khổ nạn có thể xảy đến với các nạn nhân.Hội nghị thượng đỉnh Geneva được tài trợ bởi một liên minh gồm 25 tổ chức phi chính phủ về nhân quyền từ khắp nơi trên thế giới, trong đó có Đảng Việt Tân.",Youtube Việt Tân,viettan.org
Cựu TNLT Châu Văn Khảm gặp gỡ đồng hương tại Hoa Kỳ,"Nhân chuyến thăm Hoa Kỳ, ông Châu Văn Khảm, một đảng viên Việt Tân, người đã bị nhà cầm quyền Việt Nam bắt giam trong gần 5 năm qua bản án 12 năm tù giam với cáo buộc “khủng bố nhằm chống chính quyền nhân dân,” đã có một buổi gặp gỡ đồng hương và thân hữu tại Orange County, Nam California hôm 11/5/2024.",Lạc Việt,viettan.org
Có nên chặt cây xanh để xây đường sắt trên không?,"Không cần phải nói dài dòng, ích lợi của cây xanh trước tiên là thẩm mỹ, nhưng quan trọng hơn cả là nó giữ cho môi trường trong sạch bằng cách hút khí dioxit carbon và thải ra oxy. Chính vì thế khi đi trong rừng hoặc thậm chí dưới những con đường có hai hàng cây xanh lá thì chúng ta cảm thấy mát mẻ và dễ chịu. Cây xanh vì thế trở thành một phần của hệ sinh thái đô thị. Điều này không phải và không thể nói ngược lại.Vậy thì chặt bỏ hàng trăm (nếu tính cả hai thành phố Hà Nội và Sàigòn) thì phải nói là hàng ngàn cây để xây metro có phải là lý do hợp lý và chính đáng không?",Phạm Minh Hoàng,viettan.org
Thực trạng người lao động trẻ tại Việt Nam và giải pháp,"Theo thống kê của Tổng cục Thống kê Việt Nam, số người lao động trẻ từ 15 tuổi lên là 52,4 triệu, chiếm 53,3% tổng dân số.Thời gian qua, tình trạng thu nhập thấp và việc làm bấp bênh nói lên thực trạng khó khăn của người lao động Việt Nam, nhất là trong giới lao động trẻ.Các chuyên gia nói gì? Đâu là nguyên nhân và giải pháp?",Youtube Việt Tân,viettan.org
"Hội thảo ‘Hứa hẹn của Hà Nội, Thực trạng Nhân quyền tại Việt Nam’ trước phiên Kiểm điểm Định kỳ Phổ quát (UPR) của CHXHCN Việt Nam","Một ngày trước phiên Kiểm điểm Định kỳ Phổ quát (UPR) về tình hình nhân quyền tại CHXHCN Việt Nam, tám tổ chức nhân quyền Việt Nam và quốc tế sẽ cùng tổ chức một hội thảo vào ngày 6 tháng 5 năm 2024 để báo động tình trạng vi phạm nhân quyền đang tiếp diễn ở Việt Nam hiện nay.Hội thảo “Hứa hẹn của Hà Nội, Thực trạng tại Việt Nam & hành động để tranh đấu cho nhân quyền” sẽ quy tụ các chuyên gia và nhà hoạt động nhân quyền.",Các NGOs,viettan.org
Các nhà phân tích: Việc chủ tịch nước Việt Nam từ chức cho thấy đấu đá trong nội bộ đảng,"Các nhà phân tích cho rằng việc Chủ tịch nước Việt Nam Võ Văn Thưởng từ chức trong tháng này, chỉ sau một năm trong nhiệm kỳ 5 năm, cho thấy sự đấu đá trong nội bộ đảng Cộng sản và tình trạng bất ổn chính trị tại Việt Nam, ảnh hưởng đến khả năng thu hút đầu tư nước ngoài.",Linh Dan,viettan.org
"Biểu tình lớn tại miền Đông Cuba trong bối cảnh mất điện, thiếu lương thực","Hàng trăm người ở thành phố lớn thứ hai của Cuba, Santiago, đã tham gia vào một cuộc biểu tình công khai hiếm hoi vào Chủ nhật 17/3, theo các phương tiện truyền thông xã hội và báo cáo chính thức, khiến Chủ tịch Cuba Miguel Diaz-Canel phải lên tiếng kêu gọi đối thoại trong một “bầu không khí của sự yên tĩnh và hòa bình.”",Trung Điền,viettan.org
