Title,True Label,DT Prediction,NB Prediction,RFC Prediction,SVM Prediction
Bắt giữ 2 đối tượng truy nã về tội Cố ý gây thương tích,0,0,0,0,0
Bản án nào cho đối tượng giết người trong trạng thái kích động,0,0,0,0,0
Thanh Hóa: Bắt giữ đối tượng giờ trò lưu manh ở cửa hàng điện thoại,0,0,0,0,0
Bà trùm tín dụng đen ở Hà Nam bị bắt,0,0,0,0,0
Bắt giam kẻ nổ là cán bộ Tổng cục 2 để lừa đảo chạy việc,0,0,0,0,0
Nổ quen biết lãnh đạo cao cấp Đô Chuột lừa tiền nhiều doanh nghiệp nhà hàng,0,0,0,0,0
Bắt giữ 2 nữ quái thu giữ hàng trăm vũ khí nóng,0,0,0,0,0
Đối tượng truy nã thực hiện 108 vụ trộm xe máy sa lưới,0,0,0,0,0
Đề nghị truy tố cựu Thứ trưởng Bộ Công Thương Hoàng Quốc Vượng,0,0,0,0,0
Cô đồng bổ cau Trương Thị Hương lĩnh hơn 7 năm tù,0,0,0,0,0
Vụ bé gái 8 tuổi bị dâm ô ở Bà Rịa- Vũng Tàu: Yêu râu xanh nói gì với nạn nhân?,0,0,0,0,0
Vụ tài xế taxi bị sát hại phi tang xác ở Hà Nội: Hé lộ nguyên nhân gây án,0,0,0,0,0
Hôm nay (12/9) tuyên án cô đồng bổ cau đúng nhận sai cãi ở Hải Dương,0,0,0,0,0
Vụ 2 người phụ nữ tử vong dưới ao nước ở Bình Phước: Hé lộ nguyên nhân,0,0,0,0,0
Bắt giữ thành công 2 đối tượng truy nã đặc biệt nguy hiểm,0,0,0,0,0
Thế giới ngầm mại dâm 4.0 (Kỳ 7): Adam Hòa và dàn mẫu nam khiến quý bà móc ví tung tiền giải đen,0,0,0,0,0
Khởi tố người đàn ông tăng ga bỏ chạy kéo lê CSGT khi đo nồng độ cồn,0,0,0,0,0
Bí mật không ngờ của 2 gã đàn ông chuyên đi lang thang ở Hải Phòng,0,0,0,0,0
Khởi tố đối tượng lập 3 công ty để mua bán trái phép hóa đơn gần 3.200 tỷ đồng,0,0,0,0,0
Chạy xe quá tốc độ bị xử phạt bao nhiêu tiền?,0,0,0,0,0
Tin tức pháp luật mới nhất ngày 12/9: Bắt cò đất chuyên lừa đảo phụ nữ,0,0,0,0,0
Chủ gara ô tô ở Quảng Ninh tổ chức bay lắc cùng 3 cô gái trẻ để chống bão,0,0,0,0,0
Phú Thọ: Kiểm tra tạm giữ trên 9.000 sản phẩm có dấu hiệu giả mạo nhãn hiệu,0,0,0,0,0
Xử phạt 2 người dân cố thủ trên bãi bồi quyết không chịu vào bờ tránh lũ,0,0,0,0,0
Nhiều lần đốt nhà mẹ ruột và mẹ chồng của người tình gã đàn ông lãnh án tù,0,0,0,0,0
Bi kịch chồng sát hại vợ và bản án 15 năm tù,0,1,0,0,0
Hẹn giải quyết mâu thuẫn trên mạng xã hội thiếu niên 14 tuổi bị đâm tử vong,0,0,0,0,0
Nhóm nam thanh niên bị đưa sang Campuchia ép giả làm phụ nữ để mời gọi đầu tư,0,0,0,0,0
Bắt nam thanh niên cứ hết tiền lại dùng clip nóng tống tiền bạn gái,0,1,0,0,0
Khởi tố nguyên Phó chủ tịch Hội Chữ thập đỏ Bình Dương cầm cố sổ đỏ giả,0,0,0,0,0
Tìm tên chủ xe qua biển số xe ô tô thế nào?,0,0,0,0,0
Lùi xe trong hầm đường bộ bị xử phạt như nào?,0,0,0,0,0
Xe đổi biển vàng có phải đổi đăng ký không?,0,0,0,0,0
Vụ phát hiện thi thể tài xế taxi ở mép bờ sông Đáy: Lộ diện hung thủ,0,0,0,0,0
Bắt khẩn cấp hai người phụ nữ táo tợn dùng nước sôi cây gỗ hành hung công an,0,1,0,0,0
Điều tra vụ 2 người phụ nữ tử vong dưới ao nước ở Bình Phước,0,0,0,0,0
Vụ con dâu bị tống tiền 5 tỷ đồng mộ bố chồng bị trộm hài cốt: Công an vào cuộc,0,0,0,0,0
Tuyên án 15 năm tù với yêu râu xanh hiếp dâm con riêng của người tình,0,0,0,0,0
Lật tẩy bí mật của 5 người đàn ông trên chiếc xe khách 45 chỗ,0,0,0,0,0
Có vợ hờ và con yêu râu xanh vẫn dụ bé gái 13 tuổi quan hệ tình dục,0,0,0,0,0
Bi kịch tình- tiền: Xác chết lõa thể gần bờ biển Đà Nẵng và tội ác của kẻ khát tình,0,0,0,0,0
Sự thật về thông tin phát hiện 16 xác người buộc vào nhau ở Quảng Ninh,0,0,0,0,0
Điều tra vụ mâu thuẫn trong đám cưới Quảng Trị 1 người tử vong,0,0,0,0,0
Tin tức pháp luật mới nhất ngày 11/9: Nữ kế toán trưởng chiếm đoạt gần 1 tỷ đồng,0,0,0,0,0
Dùng chân điều khiển vô lăng xe ô tô có bị phạt không?,0,0,0,0,0
Vụ bố chồng vác súng AK dọa con dâu: Tiết lộ sốc về kho vũ khí của bố chồng,0,0,0,0,0
Cụ bà mất hơn 200 triệu đồng khi nghe cuộc gọi giả mạo Công an,0,0,0,0,0
Khám xét nơi ở đối tượng vận chuyển trái phép ngà voi Châu Phi,0,0,0,0,0
Triệu tập hàng loạt chủ Facebook đăng thông tin sai sự thật vỡ đê ở Hải Dương,0,0,0,0,0
Nữ sinh lớp 8 nghi bị bắt cóc ở Tây Ninh trở về nhà tiết lộ sốc,0,0,0,0,0
Vụ camera gắn trong phòng tắm 2 nữ sinh viên: Tình tiết mới nhất,0,0,0,0,0
Lợi dụng bão Yagi để hôi của 2 đối tượng bị xử lý,0,0,0,0,0
Bất ngờ trước lý do tú bà từng bay trên mây môi giới mại dâm xin hưởng án treo?,0,0,0,0,0
Tuyên án cựu CSGT say xỉn lái xe tông chết người,0,0,0,0,0
Vụ con rể sát hại mẹ vợ ở Tiền Giang: Người dân địa phương nói gì về nghi can?,0,0,0,0,0
Tra cứu biển số xe máy bằng CCCD như thế nào?,0,0,0,0,0
Vụ hơn 35.000 người sập bẫy lừa đảo của bà Trương Mỹ Lan: Các nạn nhân có được đền bù thiệt hại?,0,0,0,0,0
Thế giới ngầm mại dâm 4.0: Tú bà 22 tuổi đội lốt sinh viên cầm đầu đường dây sugar baby,0,0,0,0,0
Bác tin vỡ đê ở Bắc Giang triệu tập người đưa tin thất thiệt lên làm việc,0,0,0,0,0
Lừa đảo hàng chục tỷ đồng của Chủ tịch Tân Hoàng Minh Cựu Vụ trưởng Nguyễn Sỹ Tá lĩnh án chung thân,0,1,0,0,0
Vụ người yêu nhí sinh con thanh niên lĩnh án tù: Kết quả ADN gây sốc,0,0,0,0,0
Không chấp hành hiệu lệnh của CSGT phạt bao nhiêu?,0,0,0,0,0
