title,label,Prediction
Pakistan army says state exploring how to integrate militant-linked groups,0,0
U.S. poised to lift sanctions on Sudan: official,0,0
Hurricane relief efforts delay deployment of U.S. troops to Afghanistan,0,0
Russia Saudi Arabia cement new friendship with king s visit,0,0
After British PM May s speech fiasco her party puzzles: Who next?,0,0
Libyan sides call Boris Johnson s bodies remark unacceptable ,0,0
Hacking attacks: a pre-election setback for Italy s 5-Star Movement,0,0
Cyprus says it agrees with Spain to postpone southern EU summit,0,0
Spain to make it easier for firms to move base from Catalonia as business alarm deepens,0,0
Russia hunting four people behind huge bomb hoax campaign,0,0
Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman,0,0
Support for Austrian ruling party slips ahead of Oct. 15 vote: poll,0,0
Suicide bombing at southwest Pakistan shrine kills 18,0,0
U.S. condemns arrest of Istanbul consulate worker,0,0
 Trump dossier on Russia links now part of special counsel s probe: sources,0,0
Syria fighting worst since Aleppo air strikes deadly: aid agencies,0,0
U.S. officials cite need for caution in addressing Rohingya crisis,0,0
No decision yet on whether to go ahead with Monday s Catalan parliament session: Speaker,0,0
Libyans flee by boat amid terrible violence at home,0,0
Row over Pakistani paramilitary unit fuels political confusion,0,0
Spanish markets gain as investor nerves ease over Catalonia,0,0
Catalan uncertainty paralyzing regional investment Spain s economy minister says,0,0
Spain PM calls on Catalan leader to drop independence plans to avoid greater evils ,0,0
Factbox: Passport to Catalonia - how to achieve independence,0,0
Germany drops mass U.S. UK spying probe on lack of evidence,0,0
Erdogan says Turkey will close Iraq border and air space soon,0,0
Russia-Trump campaign collusion an open issue: U.S. Senate panel chiefs,0,0
Moscow Riyadh work together to unite Syria s opposition: Saudi minister,0,0
Sudan regrets U.S. putting it on trafficking list before sanctions decision,0,0
Saudi Arabia agrees to buy Russian S-400 air defense system: Arabiya TV,0,0
Two hurt after report of explosion near Glasgow Scotland,0,0
French troops conducting operations on Niger-Mali border after attack,0,0
Late UK PM Heath had questions to answer over child sex abuse claims -police,0,0
Northern Ireland: Life inside The Fountain,0,0
Islamic State driven out of last stronghold in northern Iraq,0,0
Hamas picks new deputy chief whom Israel blames for helping spark Gaza war,0,0
Catalan standoff touches separatist hearts beyond Spain,0,0
Belgium eyes British U.S. jets; French offer under legal scrutiny,0,0
Woman s murder prompts mass eviction of Syrians from Lebanese town,0,0
German spy agencies want right to destroy stolen data and hack back ,0,0
Venezuela s unrest food scarcity take psychological toll on children,0,0
Saudi king tells Putin Iraqi territorial integrity must be preserved,0,0
Saudi King Salman demands Iran stop meddling in Middle East: Ifax,0,0
Syrian rebels resist Jordan pressure to hand over border crossing,0,0
France offers to mediate between Baghdad and Kurds,0,0
UK top court seeks clarity on how to handle EU rulings after Brexit,0,0
Critic of Rwandan president to face criminal trial on Friday,0,0
EU executive not assessing impact of Catalan crisis on Spanish economy,0,0
Nerve agent VX found on shirts of women accused of North Korean murder expert says,0,0
Thai court issues second arrest warrant for fugitive former PM Yingluck,0,0
Turkish security forces kill five Kurdish militants in southwestern Turkey: NTV,0,0
Brazil s congress sets up fund to cover lack of campaign finance,0,0
Ukraine expels another Russian journalist over coverage,0,0
Turkey orders detention of 133 ministry workers in post-coup probe: Anadolu,0,0
Macron s sharp tongue throws French Twitter into a frenzy,0,0
British PM showed guts and grace in conference speech minister says,0,0
After speech fiasco UK minister says ruling Conservatives must stay cool,0,0
British PM May is not considering resigning after ruined speech Sky says,0,0
Danish inventor had murder videos on his computer: prosecutor,0,0
Australia creates photo ID database to help track terror suspects,0,0
Your gilded chariot awaits: Brunei sultan celebrates 50 years in power,0,0
Thousands queue to pay last respects to Thailand s late King Bhumibol,0,0
India struggles to rein in border flows of cattle and Rohingya,0,0
Russia says kills 7 Nusra Front field commanders in Syria air strike,0,0
Talks to form NZ coalition govt start no decision until after final count,0,0
Saudi king arrives in Moscow: Russian state TV,0,0
Chemical weapons watchdog found sarin used in March Syria attack: sources,0,0
U.S. Nigerien troops killed in ambush on patrol in Niger,0,0
Syrian opposition says Russian jets kill civilians fleeing across Euphrates,0,0
Amnesty International urges halt to Afghan refugee returns,0,0
Three U.S. Army Special Forces soldiers killed in Niger: New York Times,0,0
Maverick state governor takes aim at Mexican presidency,0,0
Brazil s Meirelles has hired media team ahead of 2018 election: sources,0,0
Ecuador president replaces vice president jailed in Odebrecht probe,0,0
Exclusive: European envoys take fight for Iran nuclear deal to U.S. Congress,0,0
Russia throws North Korea lifeline to stymie regime change,0,0
Brazil detains Italian fugitive Battisti leaving country,0,0
Catalonia moves to declare independence from Spain on Monday,0,0
Saudi Arabia arrests 46 for stirring divisions: state media,0,0
Spain says if Catalan leader wants talks he first needs to respect the law,0,0
Austria puts the squeeze on refugees with benefit cuts,0,0
Sudan expects U.S. to lift sanctions conditions met: state minister,0,0
Spanish PM seeks safety in numbers before playing Catalonia trump card,0,0
Russia says critically injures ex-Qaeda leader in Syria; group denies,0,0
Catalan leader backs mediation to resolve regional crisis,0,0
Khamenei says Iran Turkey must act against Kurdish secession: TV,0,0
Bangladesh destroys boats ferrying Rohingya from Myanmar,0,0
Syria s militant ex-Qaeda group denies leader injured in Russian strike,0,0
Mexico plans aid for Puerto Rico after Hurricane Maria,0,0
Abandoned by tourists Bali town counts cost of Indonesia volcano,0,0
London s Angel station reopens after suspect package scare,0,0
London s Angel underground station closed due to security alert,0,0
UK police alerted to suspect package in London s Islington area,0,0
 It s time to talk : EU again urges dialogue in Spain,0,0
Islamic State claims deadly attack on court in Libya s Misrata,0,0
First German immigration law on agenda as Merkel seeks coalition,0,0
Eastern Europe s nationalists feel vindicated by German vote,0,0
EU executive steps up action against Hungary over NGO law,0,0
Putin says military strike against North Korea not sure to succeed,0,0
Trump and Japan s Abe agree to keep pressure on North Korea,0,0
Iran sentences member of nuclear negotiating team to five years in jail: Tasnim,0,0
Trump to receive multiple options on Iran nuclear deal: Tillerson,0,0
Search ends for bodies in Mexico City after earthquake,0,0
U.N. panel calls on North Korea to end torture child labor,0,0
Tension grips Nigerian city as separatist leader goes missing,0,0
Nigeria anti-graft agency rejects ex-first lady s witch-hunt accusation,0,0
Italian government gets economy bill through Senate despite friction,0,0
Turkish judge finds 42 soldiers guilty of trying to kill Erdogan,0,0
Putin says Trump is listening to Russia s views on North Korea crisis,0,0
Russia s Putin says hasn t decided if he will run in 2018 election,0,0
Jailed Kremlin critic calls on Russians to protest on Putin s birthday,0,0
Prankster coughing fits mar Theresa May’s speech to activists,0,0
Mohammed Dahlan speaks about Palestinian unity and his back-room role,0,0
EU s Juncker courts eurosceptic easterners with dinner invite,0,0
Venezuela s Maduro thanks Putin for support in difficult times,0,0
Putin tells Maduro: we ll keep cooperating with you on economy,0,0
Russia raps Canada s Magnitsky bill ready to retaliate,0,0
Ireland moots possible special post-Brexit arrangements for itself Northern Ireland,0,0
UK employers already on edge over Labour worry about May s tinkering ,0,0
Strong chances of Brexit no deal but UK government may collapse: Scottish minister,0,0
Russia says IS attacks in Syria come from location near U.S. forces,0,0
City of Oxford strips Aung San Suu Kyi of human rights award,0,0
Top ANC official says party must act against corrupt members,0,0
Catalan head says already feels like the president of a free country: interview,0,0
Swedish court orders Bombardier employee to be released from custody,0,0
Catalan business lobby says worried by any declaration of independence,0,0
Britain s Boris Johnson jokes about dead bodies in Libya,0,0
Russia investigating IS claim about Russian hostages: RIA,0,0
Aid groups seek $434 million to help up to 1.2 million Rohingya Muslims fleeing Myanmar,0,0
Putin: Russia-U.S. ties may improve through joint fight against terror,0,0
Iran says Tehran Ankara to confront disintegration of Iraq Syria: TV,0,0
Turkey to take stronger steps in response to Iraqi Kurdish referendum: Erdogan,0,0
Irish PM prefers May abortion referendum to maximize student vote,0,0
German prosecutors accuse former far-right party leader of perjury,0,0
Saudi king leaves for Moscow crown prince in charge,0,0
State workers protest in Romania over social security payment shift,0,0
Philippines Duterte takes aim at graft agency head for query on his wealth,0,0
Putin on Iraqi Kurdistan says Moscow handles situation with care,0,0
Mood sours in ethnically split Cyprus over aid convoy spat,0,0
Prankster interrupts British PM May s keynote party speech,0,0
May confident of winning Brexit deal that works for Britain EU,0,0
Islamic State claims responsibility for attack in Libyan city of Misrata: statement,0,0
Iraqi forces in final assault to take Hawija from Islamic State,0,0
British PM May s voice repeatedly fails in keynote speech,0,0
OSCE watchdog criticizes German social media law as too broad,0,0
Tanzanian president discloses salary one of lowest among African leaders,0,0
UK PM May: We must fight for the political mainstream,0,0
The Reuters Graphic: The threat from Bali s angry volcano,0,0
East Timor president swears in first minority government,0,0
Rwanda charges critic of president with inciting insurrection,0,0
