title,label,Prediction
Bắt giữ 2 đối tượng truy nã về tội Cố ý gây thương tích,0,0
Bản án nào cho đối tượng giết người trong trạng thái kích động,0,0
Thanh Hóa: Bắt giữ đối tượng giờ trò lưu manh ở cửa hàng điện thoại,0,0
Bà trùm tín dụng đen ở Hà Nam bị bắt,0,0
Bắt giam kẻ nổ là cán bộ Tổng cục 2 để lừa đảo chạy việc,0,0
Nổ quen biết lãnh đạo cao cấp Đô Chuột lừa tiền nhiều doanh nghiệp nhà hàng,0,0
Bắt giữ 2 nữ quái thu giữ hàng trăm vũ khí nóng,0,0
Đối tượng truy nã thực hiện 108 vụ trộm xe máy sa lưới,0,0
Đề nghị truy tố cựu Thứ trưởng Bộ Công Thương Hoàng Quốc Vượng,0,0
Cô đồng bổ cau Trương Thị Hương lĩnh hơn 7 năm tù,0,0
Vụ bé gái 8 tuổi bị dâm ô ở Bà Rịa- Vũng Tàu: Yêu râu xanh nói gì với nạn nhân?,0,0
Vụ tài xế taxi bị sát hại phi tang xác ở Hà Nội: Hé lộ nguyên nhân gây án,0,0
Hôm nay (12/9) tuyên án cô đồng bổ cau đúng nhận sai cãi ở Hải Dương,0,0
Vụ 2 người phụ nữ tử vong dưới ao nước ở Bình Phước: Hé lộ nguyên nhân,0,0
Bắt giữ thành công 2 đối tượng truy nã đặc biệt nguy hiểm,0,0
Thế giới ngầm mại dâm 4.0 (Kỳ 7): Adam Hòa và dàn mẫu nam khiến quý bà móc ví tung tiền giải đen,0,0
Khởi tố người đàn ông tăng ga bỏ chạy kéo lê CSGT khi đo nồng độ cồn,0,0
Bí mật không ngờ của 2 gã đàn ông chuyên đi lang thang ở Hải Phòng,0,0
Khởi tố đối tượng lập 3 công ty để mua bán trái phép hóa đơn gần 3.200 tỷ đồng,0,0
Chạy xe quá tốc độ bị xử phạt bao nhiêu tiền?,0,0
Tin tức pháp luật mới nhất ngày 12/9: Bắt cò đất chuyên lừa đảo phụ nữ,0,0
Chủ gara ô tô ở Quảng Ninh tổ chức bay lắc cùng 3 cô gái trẻ để chống bão,0,0
Phú Thọ: Kiểm tra tạm giữ trên 9.000 sản phẩm có dấu hiệu giả mạo nhãn hiệu,0,0
Xử phạt 2 người dân cố thủ trên bãi bồi quyết không chịu vào bờ tránh lũ,0,0
Nhiều lần đốt nhà mẹ ruột và mẹ chồng của người tình gã đàn ông lãnh án tù,0,0
Bi kịch chồng sát hại vợ và bản án 15 năm tù,0,0
Hẹn giải quyết mâu thuẫn trên mạng xã hội thiếu niên 14 tuổi bị đâm tử vong,0,0
Nhóm nam thanh niên bị đưa sang Campuchia ép giả làm phụ nữ để mời gọi đầu tư,0,0
Bắt nam thanh niên cứ hết tiền lại dùng clip nóng tống tiền bạn gái,0,0
Khởi tố nguyên Phó chủ tịch Hội Chữ thập đỏ Bình Dương cầm cố sổ đỏ giả,0,0
Tìm tên chủ xe qua biển số xe ô tô thế nào?,0,0
Lùi xe trong hầm đường bộ bị xử phạt như nào?,0,0
Xe đổi biển vàng có phải đổi đăng ký không?,0,0
Vụ phát hiện thi thể tài xế taxi ở mép bờ sông Đáy: Lộ diện hung thủ,0,0
Bắt khẩn cấp hai người phụ nữ táo tợn dùng nước sôi cây gỗ hành hung công an,0,0
Điều tra vụ 2 người phụ nữ tử vong dưới ao nước ở Bình Phước,0,0
Vụ con dâu bị tống tiền 5 tỷ đồng mộ bố chồng bị trộm hài cốt: Công an vào cuộc,0,0
Tuyên án 15 năm tù với yêu râu xanh hiếp dâm con riêng của người tình,0,0
Lật tẩy bí mật của 5 người đàn ông trên chiếc xe khách 45 chỗ,0,0
Có vợ hờ và con yêu râu xanh vẫn dụ bé gái 13 tuổi quan hệ tình dục,0,0
Bi kịch tình- tiền: Xác chết lõa thể gần bờ biển Đà Nẵng và tội ác của kẻ khát tình,0,0
Sự thật về thông tin phát hiện 16 xác người buộc vào nhau ở Quảng Ninh,0,0
Điều tra vụ mâu thuẫn trong đám cưới Quảng Trị 1 người tử vong,0,0
Tin tức pháp luật mới nhất ngày 11/9: Nữ kế toán trưởng chiếm đoạt gần 1 tỷ đồng,0,0
Dùng chân điều khiển vô lăng xe ô tô có bị phạt không?,0,0
Vụ bố chồng vác súng AK dọa con dâu: Tiết lộ sốc về kho vũ khí của bố chồng,0,0
Cụ bà mất hơn 200 triệu đồng khi nghe cuộc gọi giả mạo Công an,0,0
Khám xét nơi ở đối tượng vận chuyển trái phép ngà voi Châu Phi,0,0
Triệu tập hàng loạt chủ Facebook đăng thông tin sai sự thật vỡ đê ở Hải Dương,0,0
Nữ sinh lớp 8 nghi bị bắt cóc ở Tây Ninh trở về nhà tiết lộ sốc,0,0
Vụ camera gắn trong phòng tắm 2 nữ sinh viên: Tình tiết mới nhất,0,0
Lợi dụng bão Yagi để hôi của 2 đối tượng bị xử lý,0,0
Bất ngờ trước lý do tú bà từng bay trên mây môi giới mại dâm xin hưởng án treo?,0,0
Tuyên án cựu CSGT say xỉn lái xe tông chết người,0,0
Vụ con rể sát hại mẹ vợ ở Tiền Giang: Người dân địa phương nói gì về nghi can?,0,0
Tra cứu biển số xe máy bằng CCCD như thế nào?,0,0
Vụ hơn 35.000 người sập bẫy lừa đảo của bà Trương Mỹ Lan: Các nạn nhân có được đền bù thiệt hại?,0,0
Thế giới ngầm mại dâm 4.0: Tú bà 22 tuổi đội lốt sinh viên cầm đầu đường dây sugar baby,0,0
Bác tin vỡ đê ở Bắc Giang triệu tập người đưa tin thất thiệt lên làm việc,0,0
Lừa đảo hàng chục tỷ đồng của Chủ tịch Tân Hoàng Minh Cựu Vụ trưởng Nguyễn Sỹ Tá lĩnh án chung thân,0,0
Vụ người yêu nhí sinh con thanh niên lĩnh án tù: Kết quả ADN gây sốc,0,0
Không chấp hành hiệu lệnh của CSGT phạt bao nhiêu?,0,0
Tin tức pháp luật mới nhất ngày 10/9: CSGT đón lõng bắt nghi can trộm xe máy,0,0
Khi qua đường giao nhau thứ tự xe được quyền ưu tiên đi trước cụ thể như nào?,0,0
Khởi tố đối tượng cướp tài sản ở cửa hàng tiện lợi,0,0
Phát hiện đối tượng vận chuyển số lượng lớn động vật hoang dã trái phép,0,0
Lẻn vào bệnh viện để trộm cắp tài sản,0,0
Vụ mẹ chồng con dâu cầm đầu đường dây tổ chức mại dâm: Gái bán dâm bị ép nộp phế khủng,0,0
Vụ nữ chủ quán nước mía bị sát hại ở Đà Nẵng: Hé lộ nguyên nhân,0,0
Triệt phá đường dây lừa đảo xuyên quốc gia đặt trụ sở tại Campuchia,0,0
Khởi tố Phó Chánh án TAND huyện ở Gia Lai về tội nhận hối lộ,0,0
Bắt nam thanh niên dùng video nhạy cảm ép người yêu cũ đưa 10 triệu đồng,0,0
Vụ xe tải cán qua người đàn ông ở Đồng Nai: Khởi tố tài xế,0,0
Vụ nữ sinh phát hiện camera quay lén trong phòng tắm: Công an xác minh,0,0
Bắt người đàn ông đi uống rượu về đánh cháu ruột tử vong,0,0
Vụ giải cứu 11 bé gái bị ép làm nô lệ tình dục : Lời khai của các đối tượng,0,0
Vụ bạo hành trẻ em tại Mái ấm Hoa Hồng : Cha mẹ những đứa trẻ là ai?,0,0
Bi kịch tình-tiền: Giá đắt cho thiếu phụ cuồng yêu phóng hoả trả thù tình nhân,0,0
Kẻ tống tiền bằng clip nhạy cảm tiếp tục bị truy tố vì chiếm đoạt 1.200 camera,0,0
Khởi tố đối tượng gây rối trật tự công cộng,0,0
Tin tức pháp luật mới nhất ngày 9/9: Bắt kẻ lừa đảo chiếm đoạt 450 triệu đồng,0,0
Tạm giữ thanh niên ngáo đá cầm hung khí cố thủ trong nhà hơn 22 giờ,0,0
Triệt phá đường dây mua bán người dưới 16 tuổi liên tỉnh,0,0
Vụ 3 mẹ con tử vong trên cao tốc Cam Lộ - La Sơn: Tài xế vượt ẩu lĩnh bao nhiêu năm tù?,0,0
Diễn biến mới vụ bé gái 14 tuổi bị mẹ ép bán cái ngàn vàng,0,0
Vụ người phụ nữ ngồi trên nắp capo xe ô tô ở Bình Dương : Diễn biến mới,0,0
Vụ 3 đôi nam nữ mua bán dâm tại khách sạn ở Bình Thuận: Lộ diện 2 tú bà,0,0
Điều tra vụ án mạng tại vựa thanh long 1 người chết 1 người bị thương,0,0
Vụ hỗn chiến khiến nam sinh 16 tuổi tử vong ở Hà Nội: Hé lộ nguyên nhân,0,0
Ô tô bị cây đổ đè do bão số 3 có được công ty bảo hiểm đền bù?,0,0
Lý do một Bí thư xã ở Ninh Bình bị bắt tạm giam,0,0
Xác minh việc 2 tài xế ô tô đánh nhau trên Quốc lộ 51,0,0
Vụ bạo hành trẻ em tại Mái ấm Hoa Hồng : Thứ trưởng Bộ LĐTB&XH thông tin,0,0
Vào đất liền tránh bão đối tượng truy nã đặc biệt bị bắt sau 23 năm bỏ trốn,0,0
Công an Hà Đông chủ động ứng phó bão số 3 đảm bảo an toàn giao thông,0,0
Gần 5000 cán bộ chiến sĩ công an tỉnh Quảng Ninh căng mình tham gia ứng phó với cơn bão số 3,0,0
Cãi nhau với vợ người chồng nghi ngáo đá kề mã tấu vào cổ dọa tự sát,0,0
Vụ trẻ 5 tuổi khuyết tật bị bạo hành tử vong:Thủ phạm là người không bình thường,0,0
Bắt quả tang nhân viên xông hơi Tây Thi New kích dục cho khách chủ khai gì?,0,0
Bắt giữ đối tượng khống chế cháu bé hơn 1 tuổi làm con tin do mâu thuẫn,0,0
Người phụ nữ trung niên làm điều mờ ám cùng nhiều dân chơi xăm trổ,0,0
Thế giới ngầm mại dâm 4.0 (Kỳ 6): Chiêu tuyển đào đặc biệt của tú bà 9X tốt nghiệp ĐH Luật,0,0
Tin tức pháp luật mới nhất ngày 7/9: Bắt đối tượng lừa đảo chiếm đoạt tiền tỷ,0,0
Bắt tạm giam nguyên Giám định viên Trung tâm giám định pháp y tỉnh Sơn La,0,0
Xử lý 9 quái xế vi phạm giao thông ở Hải Phòng,0,0
Dính bẫy lừa đảo làm căn cước online một phụ nữ tại Hà Nội mất 900 triệu đồng,0,0
Bắt kẻ trộm sau sự cố mất điện ở xưởng đá,0,0
Phát hiện quán karaoke hoạt động trái phép ở Hải Phòng,0,0
Vụ thi thể đôi nam nữ trôi trên sông Hồng: Chủ tịch xã nói gì?,0,0
Xét xử vụ Vạn Thịnh Phát giai đoạn 2: Bà Trương Mỹ Lan bị truy tố các tội nào?,0,0
Khởi tố thêm nhiều lãnh đạo nguyên lãnh đạo 1 xã ở Nam Định,0,0
Vì sao con gái ông Trần Quí Thanh được giảm 9 tháng tù?,0,0
Triệt phá boong ke ma túy do nữ quái 51 tuổi cầm đầu,0,0
Tạm giữ yêu râu xanh đưa bé gái 14 tuổi về nhà quan hệ tình dục ở Bắc Giang,0,0
Vụ bạo hành trẻ em tại Mái ấm Hoa Hồng : Danh tính 2 bảo mẫu vừa bị bắt,0,0
Vĩnh Phúc: Phát hiện cơ sở sản xuất bánh trung thu không đảm bảo vệ sinh,0,0
Truy tìm đối tượng giật 450 tờ vé số của cụ bà tại Buôn Ma Thuột,0,0
Vụ nổ súng ở Đồng Nai: Người chồng tử vong,0,0
Dụ dỗ nữ sinh lớp 7 vào nhà nghỉ yêu rồi quay clip nóng thanh niên nhận kết đắng,0,0
Bắt nhóm thanh niên cầm hung khí đi dạo gặp ai không vừa mắt là đánh,0,0
Ông Trần Quí Thanh xin xem xét lại tội danh vì cho rằng không chiếm đoạt tài sản,0,0
Khởi tố 2 đối tượng cho vay lãi nặng liên tỉnh với lãi suất lên đến 386%/năm,0,0
Bi kịch tình- tiền: Rợn người với kịch bản sát hại người tình đồng tính của gã giác hơi dạo,0,0
Thủ đoạn giả danh CSGT Công an Hà Nội xử phạt vi phạm giao thông,0,0
Vừa ra tù người đàn ông đã rủ bạn gái mở đại lý ma túy để khởi nghiệp,0,0
Vụ Tổ phó Tổ bảo vệ an ninh bị chém tử vong: Công an Tuyên Quang thông tin,0,0
Vụ Tổ phó Tổ bảo vệ an ninh bị chém tử vong ở Tuyên Quang: Hé lộ nguyên nhân,0,0
Tin tức pháp luật mới nhất ngày 6/9: Mẹ bị cướp khi đang chở con đi khai giảng,0,0
Chủ Mái ấm Hoa Hồng nghiên cứu đối phó đoàn kiểm tra rất tinh vi,0,0
Bắt 2 đối tượng lẻn vào bệnh viện trộm cắp tài sản,0,0
Truy nóng nhóm tội phạm 10X gây án tại cửa hàng điện thoại,0,0
Xử lý người đàn ông tán phát tin giả tin sai sự thật ở Hà Nội,0,0
Bộ đôi chém gió lừa đảo chiếm đoạt 5 tỷ đồng và 40.000 USD để chạy dự án,0,0
Thông tin mới nhất vụ nam thanh niên sát hại cô gái dẫn đi xem phòng trọ tại Hà Nội,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Lời khai bất ngờ của bảo mẫu,0,0
Vụ bé trai 5 tuổi khuyết tật tử vong bất thường ở Gia Lai: Tử vong ngoại viện,0,0
Triệt phá ổ nhóm chuyên đóng vai người mua kẻ bán để lừa đảo chiếm đoạt tài sản,0,0
Đánh sập ổ nhóm đánh bạc hơn 10 triệu USDT thu giữ nhiều siêu xe,0,0
Bạo hành tại Mái ấm Hoa Hồng : Danh tính 5 bảo mẫu đánh trẻ không thương tiếc,0,0
Nhóm đối tượng thuê ô tô tự lái từ Thanh Hóa ra Ninh Bình để trộm cắp,0,0
Cho vay nặng lãi với giá cắt cổ nam thanh niên bị tạm giữ hình sự,0,0
Giết người do mâu thuẫn trong tiệc sinh nhật 2 nam thanh niên lĩnh 18 năm tù,0,0
Bị truy nã ở Việt Nam nam thanh niên trốn ra nước ngoài rồi tiếp tục gây án,0,0
Vụ cầm dao chém 3 người bị thương rồi về nhà cố thủ: Bất ngờ nguyên nhân gây án,0,0
Vụ người nước ngoài bị đâm tử vong ở Bình Dương: Hé lộ nguyên nhân,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Chuyên gia pháp lý phân tích thế nào?,0,0
Vụ bạo hành ở Mái ấm Hoa Hồng nghi trục lợi từ thiện: Mẹ Hương từng đánh bóng tên tuổi ra sao?,0,0
Lật tẩy hành tung mờ ám sau giờ làm của gã công nhân ở Đà Nẵng,0,0
Vụ bạo hành ở Mái ấm Hoa Hồng : Tạm giữ bà Giáp Thị Sông Hương và các bảo mẫu,0,0
Thế giới ngầm mại dâm 4.0: Cơ trưởng hàng không làm trùm đường dây hotgirl đi khách đại gia,0,0
Vụ nhận hối lộ trung tâm đăng kiểm: Chia tiền qua nhóm Tí tách mỗi ngày,0,0
Sang nhà người thân ăn cơm cô gái trẻ tiện tay lấy hơn 190 triệu đồng,0,0
Xử phạt 2 người phụ nữ dùng mạng xã hội xúc phạm ban quản lý chợ ở Quảng Ninh,0,0
Bắt giữ đối tượng trộm cắp tài sản,0,0
Khởi tố vụ án hình sự sản xuất hàng giả mật ong tại Công ty TNHH Ong Hòa Bình,0,0
Quyết liệt ngăn chặn thanh thiếu niên tụ tập gây mất trật tự ở Quảng Ninh,0,0
Hé lộ kế hoạch đi cướp máy Pod manh động của 3 thanh thiếu niên Hà Nội,0,0
Khởi tố thêm tội danh với nữ cựu Giám đốc Công ty Bất động sản ở Hải Phòng,0,0
Tin tức pháp luật mới nhất ngày 5/9: Lừa bán đất chiếm đoạt hơn 23 tỷ đồng,0,0
Ô tô chạy quá tốc độ 13km/h bị phạt bao nhiêu tiền?,0,0
Ninh Bình: Phát hiện buộc tiêu huỷ 288 bánh trung thu nhập lậu,0,0
Sau 6 năm lẩn trốn đối tượng có 5 lệnh truy nã sa lưới,0,0
Truy nã đối tượng cố ý gây thương tích ở Thái Bình,0,0
Sau cuộc điện thoại người phụ nữ Hà Nội mất 700 triệu đồng trong tài khoản,0,0
Bảo mẫu bạo hành bé trai 6 tháng tuổi dẫn đến tử vong lĩnh án,0,0
Vụ thanh niên đâm người đàn ông ngoại quốc tử vong: Công an Bình Dương thông tin,0,0
Đối tượng vận chuyển 15 bánh heroin dùng hung khí chống trả cảnh sát quyết liệt,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Sở LĐ-TB&XH TP.HCM thông tin,0,0
Bộ Công an thông tin về tình hình tội phạm trong kỳ nghỉ 2/9,0,0
Vụ thiếu nữ 15 tuổi bị sát hại ở Bình Dương: Hành động đáng sợ của nghi phạm,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Chủ cơ sở khai gì?,0,0
Đu trend tiktok 2 thiếu niên ở Hà Giang bị triệu tập,0,0
Vụ thiếu nữ 15 tuổi bị sát hại ở Bình Dương: Tình tiết bất ngờ,0,0
Vụ tài xế xe tải nghi cố tình cán chết người: Diễn biến mới nhất,0,0
Bộ Công an: Nhiều trẻ em trong độ tuổi từ 13-15 nghiện ma túy,0,0
Bí mật của đôi bạn tù trên chiếc xe bán tải di chuyển khắp nơi,0,0
Vụ bạo hành trẻ ở Mái ấm Hoa Hồng : Xót xa cảnh trẻ bị đánh không thương tiếc,0,0
Vụ nghi bạo hành tại Mái ấm Hoa Hồng: Thu hồi giấy phép hoạt động,0,0
Bộ Công an đề nghị khẩn trương điều tra vụ án tại đặc khu Tam Giác Vàng,0,0
Vụ nghi bạo hành tại Mái ấm Hoa Hồng: Chủ tịch quận lên tiếng,0,0
Mức phạt ô tô không có đủ hệ thống hãm khi tham gia giao thông,0,0
Vụ bé gái 11 tuổi bị hàng xóm dâm ô: Khởi tố yêu râu xanh,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Lãnh đạo TP.HCM yêu cầu xử lý nghiêm,0,0
Vụ nghi bạo hành ở Mái ấm Hoa Hồng : Tiết lộ bất ngờ,0,0
Thủ tục bấm biển xe ô tô như thế nào?,0,0
Vụ bạo hành trẻ em ở Mái ấm Hoa Hồng : Hàng xóm tiết lộ sốc về các bảo mẫu,0,0
Vụ thiếu nữ 15 tuổi bị sát hại ở Bình Dương: Hé lộ nguyên nhân,0,0
Bị mắng vì lao vào ô tô nam thanh niên đâm người đàn ông ngoại quốc tử vong,0,0
Bi kịch tình- tiền: Kẻ thủ ác ra tay tàn độc phi tang xác người tình hơn 8 tuổi xuống cống,0,0
Lật tẩy bí mật của người đàn ông lúc rạng sáng,0,0
Mức phạt đối với hành vi đội mũ bảo hiểm kém chất lượng?,0,0
Vụ nghi nhiều trẻ em bị bảo mẫu bạo hành trong mái ấm ở TP.HCM: Công an vào cuộc,0,0
Vụ thiếu nữ 15 tuổi bị sát hại ở Bình Dương: Nghi phạm làm gì sau khi gây án?,0,0
Bảo mẫu bạo hành khiến bé trai 6 tháng tuổi tử vong hầu tòa,0,0
Truy nóng hành vi manh động của đối tượng cộm cán trên tỉnh lộ 427,0,0
Chặt hạ gỗ quý vùng lõi Vườn quốc gia Xuân Sơn 7 đối tượng bị khởi tố,0,0
Bắt tạm giam nam nhân viên kế toán tham ô tài sản ở Bắc Giang,0,0
Công an Hà Giang thông tin vụ hàng chục quái xế tổ chức offline trong ngày 2/9,0,0
Điều tra vụ thanh niên sát hại bạn gái rồi ôm bình gas cố thủ trong phòng trọ,0,0
Xe ô tô 5 chỗ chở 8 người vượt chốt công an tại Biên Hòa trên xe có chứa ma túy,0,0
Vụ lừa đảo gần 300 tỷ đồng ở Hải Phòng: Công an tìm bị hại,0,0
Lai Châu: Hỗn chiến giữa 2 nhóm thanh thiếu niên 2 người thương vong,0,0
Hà Nội: Bắt giữ đối tượng truy nã đặc biệt nguy hiểm,0,0
Lào Cai: Phát hiện xử lý 792 kg khí cười N2O không rõ nguồn gốc xuất xứ,0,0
Vụ nữ chủ nhà bị hiếp dâm cướp dây chuyền vàng ở Hà Nội: Lời khai của yêu râu xanh,0,0
Biển số định danh có bắt buộc không?,0,0
Thế giới ngầm mại dâm 4.0 (Kỳ 4): Cú đáp khẩn cấp vào vòng lao lý của tú bà từng bay trên mây,0,0
Xử lý nam thanh niên lái xe máy bằng chân ở Hà Tĩnh,0,0
Nguyên Chủ tịch HĐQT kiêm Tổng Giám đốc Công ty Cổ phần Thuốc lá và Thực phẩm Bắc Giang bị bắt,0,0
Tin tức pháp luật mới nhất ngày 3/9: Bắt 3 đối tượng sử dụng trái phép ma túy,0,0
Lừa cung cấp dịch vụ đọc trộm tin nhắn hai đối tượng lừa đảo hàng chục người,0,0
Bất ngờ danh tính tài xế tông tử vong cụ bà nhặt rác ở Bắc Giang,0,0
Thực hư hình ảnh Trang Nemo được ra tù,0,0
Bị cự tuyệt tình cảm nam thanh niên đâm tình cũ trọng thương,0,0
Phát hiện người đàn ông bị cây đè tử vong trong rừng bảo tồn,0,0
Hà Nội: Liên tiếp xử lý các cơ sở kinh doanh bóng cười tại quận Hoàn Kiếm,0,0
Bắt giữ người đàn ông đâm hàng xóm trọng thương rồi bỏ trốn,0,0
Thông chốt nam thiếu niên 16 tuổi tông thiếu tá công an trọng thương,0,0
Người đàn ông Nga tử vong nghi rơi từ tầng cao ở trung tâm Nha Trang,0,0
Hành trình truy bắt đối tượng trốn truy nã 30 năm,0,0
Nhặt được chiếc hộp kì lạ trên biển người đàn ông phải vào viện ngay lập tức khi biết danh tính thật của nó,1,1
Những dấu hiệu nhận biết nhà bạn đang có ma và cách trừ ma quỷ trong nhà,1,1
Bí mật động trời mà không một nhân viên khách sạn nào dám nói cho bạn biết,1,0
Bí mật đằng sau chiếc nhẫn trên ngón tay út của Thanh Hằng và Chi Pu,1,1
Bé Nhật Lan báo mộng cho người nhà về nghi phạm trước khi bị bắt,1,0
Ao làng bỗng lúc nhúc toàn sinh vật lạ thò tay sờ vào mới tím mặt sợ hãi khi biết sự thật,1,1
Cậu bé kinh hãi khi thấy chân lúc nhúc hàng triệu sinh vật bấu chặt cúi xuống phát hiện sự thật bàng hoàng,1,1
Bác sĩ không đầu trước cửa phòng khám khiến cả bệnh viện náo loạn khi biết sự thật,1,1
Sốc với những loại bùa ngải có thật dấu hiệu khi bị dính và đây là cách phòng tránh !,1,1
Nhặt được xác trăn ven đường người đàn ông chết sững với thứ trong bụng trăn lâu năm,1,0
Tưởng ổ trứng gà mang về ấp thành con thanh niên ngay lập tức chuyển nhà chỉ sau 2 tuần,1,1
Cô gái tự sướng 101 lần liên tiếp trong suốt 12 giờ liền và cái kết gây sốc,1,1
Cặp đôi chụp 1000 kiểu ảnh chỉ một tư thế trong 3 năm ai cũng sốc khi biết sự thật,1,1
Vác bừa hòn đá về kê bếp người đàn ông sốc nặng khi được trả 400 triệu chỉ vì bí mật này bên trong,1,0
Vừa thấy quái khủng đen xì lòi ra từ khúc cây thanh niên vứt vội gỗ quý chạy mất dép chỉ sau 1 giây,1,1
Phát hoảng vì tiếng rít đinh tai mỗi đêm chạy ra kêu cứu mới kinh hoàng thấy cảnh tượng đẫm máu chồng đang làm sau vườn,1,1
Tưởng cả trăm con rắn bò vào nhà trả thù chàng trai kinh hãi tột độ khi thấy cảnh tượng chết chóc ám ảnh sau đó,1,1
Dụ em gái cosplay mới quen gửi ảnh trong bồn tắm chàng trai sốc tận não khi nàng trút bỏ xiêm y,1,1
Thời buổi giờ xinh quá cũng là cái tội như cô gái này chẳng hạn!,1,1
Vợ chết 3 ngày về báo mộng chồng dỡ trần nhà xuống để rồi sốc ngất khi thấy thứ đó,1,1
Đêm nào mẹ cũng báo mộng cho con trai và cái kết,1,1
Cưới vợ cho con trai bố mẹ đặt 200 mâm cỗ nhưng không ai tới thông gia biết được sự thật thì đòi hủy hôn ngay lập tức,1,1
Chấp nhận đổ vỏ cho con nhỏ bạn thân và cái kết sốc,1,1
Chồng chôn chuối xanh và trứng xuống dưới đất cảnh tượng đằng sau khiến vợ kinh hãi,1,0
Bạn gái Đạt Cỏ nhận muôn nghìn gạch đá khi bình luận cực sốc thế này ở bức ảnh hở bạo của Ngân 98,1,0
Sau thời gian dài chữa bệnh đại gia xấu nhất thế giới Trần Sơn gây sốc nặng với hình ảnh bảnh bao khó tin,1,1
Hot girl có vòng 1 tự nhiên khủng nhất châu Á phát ngôn gây sốc về lý do không bao giờ mặc hở,1,1
Mặc đồ không khác gì vải màn lên bar đú đởn Mon 2k nhận cái kết quá đắng khi phát ngôn câu này,1,1
Quán trứng vịt lộn 1 đêm bán 1.000 quả: Khách đến mua sốc nặng khi biết bên trong nồi có…,1,1
Lý do Phi Nhung phải uống thuốc trừ sâu tự tử khiến ai cũng ‘choáng’?,1,1
Dốc ống điều hòa rụng tim vì thấy sinh vật bằng cổ tay dài cả mét này trườn ra,1,1
Lấy chồng thực vật 35 tuổi vẫn còn zin 1 đêm chăm chồng mệt quá vợ ngủ thiếp đi lúc tỉnh dậy thì hốt hoảng khi thấy…,1,1
Muốn tiền vào như nước nhớ đừng để thứ này trong ví,1,1
Chỉ một lần vui quá trớn thanh niên sùi đầy nốt lạ trên lưng để rồi chết lặng khi biết sự thật đắng ngắt,1,1
Những dấu hiệu nhận biết nhà bạn đang có ma và cách trừ ma quỷ trong nhà,1,1
Tưởng nhặt được trứng khủng long giữa vườn mang vào nhà sợ hãi tột độ khi thấy nở trên tay là…,1,1
Cứ tưởng đào được trứng khủng long người đàn ông tách đôi mới câm nín vì bên trong thực ra là…,1,1
Đêm nào cũng nghe lục đục dưới gầm giường sợ hãi lật tấm phản phát hiện bí mật kinh hoàng,1,1
Thấy vợ máu me nằm bất động trên sàn tưởng con gái xuống tay hạ sát lao vào phát hiện sự thật kinh hoàng,1,0
Rạch đầu rắn mọc lổn nhổn đá dăm là cảnh tượng kinh hoàng không ai muốn chứng kiến quá 5 giây,1,1
Tím mặt bóp bụng trăn khủng quằn quại trên sàn bơm ra thứ kinh dị ám ảnh cả gia đình,1,1
