Title,True Label,DT Prediction,NB Prediction,RFC Prediction,SVM Prediction
Armed group seeks legitimacy with Tripoli migrant deal source says,0,0,0,0,0
Malaysia arrests seven suspected of involvement with Abu Sayyaf militant group,0,0,0,0,0
Spanish police raid Catalan government to halt banned referendum,0,0,0,0,0
Trump South Korea s Moon to meet amid tensions over North Korea,0,0,0,0,0
Lost luggage: Mischievous Singapore handler sent bags astray at world s best airport,0,0,0,0,0
New Zealand calls in navy to beat jet fuel shortage before vote,0,0,0,0,0
China says North Korean situation more serious by the day,0,0,0,0,0
South Korea approves $8 million aid to North Korea timing to be decided later,0,0,0,0,0
Trump urges strong and swift U.N. action to end Rohingya crisis,0,0,0,0,0
China top graft buster says corruption fight world class hard,0,0,0,0,0
Martinique escapes brunt of Hurricane Maria Guadeloupe takes lashing,0,0,0,0,0
Dominican Republic shuts most ports ahead of Hurricane Maria,0,0,0,0,0
Myanmar says security forces told to avoid collateral damage in Rakhine,0,0,0,0,0
Mexicans spooked by repeat rumble on anniversary of 1985 quake,0,0,1,0,0
Once kittens in cyber spy world Iran gains prowess: security experts,0,0,0,0,0
Iran regional behavior means nuclear deal not enough: Macron,0,0,0,0,0
Ukraine s Poroshenko rejects Russia s hybrid peackeeping offer,0,0,0,0,0
Tillerson Zarif spoke directly at Iran nuclear talks,0,0,0,0,0
Kenya Supreme Court criticizes election board in verdict on polls,0,0,0,0,0
Democrats in Congress brace for new Iran nuclear fight,0,0,0,0,0
EU s Mogherini says all parties complying with Iran nuclear deal,0,0,0,0,0
Unveiling new Libya plan U.N. sees opportunity for peace,0,0,0,0,0
May Macron Gentiloni push for quick removal of extremist online content,0,1,0,0,0
Palestinian President Abbas says peace closer with Trump engaged,0,0,0,0,0
Togo security forces clash with protesters in north boy killed,0,0,0,0,0
Indigenous protesters seize oil wells in Peruvian Amazon: chief,0,0,0,0,0
Anti-immigrant AfD alarms German Jews as election looms,0,0,1,0,0
U.S. strongly opposes Iraqi Kurdish independence vote: State Department,0,0,0,0,0
More than 60 years on Japan s mercury-poison victims fight to be heard,0,1,1,1,1
Tanzania shuts down another days numbered newspaper,0,1,0,0,0
Pence tells U.N. that America first does not mean America alone,0,0,0,0,0
U.S. will consider resuming halted military aid to Egypt: Trump,0,1,0,0,0
Trump s Central America plan will not boost militarization: Honduras president,0,0,0,0,0
Brazil Supreme Court sends new Temer graft charges to Congress,0,0,0,0,0
It s not over yet Merkel warns supporters before vote,0,0,0,0,0
South Korea says Trump s warning to North Korea firm and specific,0,0,0,0,0
Japan s Abe says time for talk is over on North Korea,0,0,0,0,0
Erdogan Putin to discuss Syrian peace plan next week,0,0,0,0,0
Russia s air force killed 850 militants in Syria in last 24 hours: Interfax,0,0,0,0,0
Spain s Rajoy calls on Catalonia leaders to cancel referendum,0,0,0,0,0
Ai Wei-Wei critical of China at opening of Swiss exhibit,0,0,1,1,1
A South Sudan vote would heap disaster upon catastrophe U.N. says,0,0,0,0,0
Afghan president says Trump war plan has better chance than Obama s,0,0,0,0,0
France s National Front on verge of split after election setback,0,0,0,0,0
As Brexit clock ticks down EU eyes new offer from May,0,0,0,0,0
Vote plus marathon spells super-busy Sunday for Berlin police,0,0,0,0,0
U.N. peacekeepers pressed to do more with less as further cuts loom,0,0,0,0,0
German court finds Syrian guilty over U.N. peacekeeper abduction,0,0,0,0,0
Trump says he is deeply disturbed by South Sudan Congo violence,0,0,0,0,0
Trump Mexican president speak after latest quake: White House,0,0,0,0,0
Czech ruling party says wage growth must be priority for next government,0,0,0,0,0
Abbas: U.N. must try to end Israeli occupation within set timeframe,0,0,0,0,0
Bulgaria warplane purchase on hold after lawmakers demur,0,0,0,0,0
Ugandan MPs cite intimidation ahead of move to extend Museveni rule,0,0,0,0,0
Police deploy in Iraqi oil city as tensions rise before Kurdish independence vote,0,0,0,0,0
Inspired by blasphemy killer new Pakistani party eyes 2018 vote,0,0,0,0,0
Record number of states punishing human rights activism: U.N,0,0,0,0,0
Kyrgyzstan accuses Kazakhstan of backing opposition presidential candidate,0,0,0,0,0
Fake letters tell Germans the web has worked out their vote,0,0,0,0,0
Saudi Arabia does not believe Iran abiding by nuclear deal: minister,0,0,0,0,0
We want it in writing: Scotland and Wales seek clarity on post-Brexit powers,0,0,0,0,0
Philippine Congress agrees to restore rights commission budget from $20,0,0,0,0,0
Trump s threat to destroy North Korea is wrong: Merkel,0,0,0,0,0
U.S. urges Congolese security forces restraint probe into violence,0,0,0,0,0
Exclusive: From Russia with fuel - North Korean ships may be undermining sanctions,0,0,0,0,0
Merkel dismisses hecklers as polls point to fourth term,0,0,0,0,0
Germany sees no sign of cyber attack before Sept. 24 election,0,0,0,0,0
Far right makes most noise on Twitter in German election,0,1,0,0,0
Dutch government seeks to overturn court ruling on Srebrenica,0,0,0,0,0
Slovakia delays decision to replace Russian fighter jets,0,0,0,0,0
France s Macron says mistake to pull out of Iran nuclear deal,0,0,0,0,0
Iran prepared to resume curbed nuclear work if Trump quits deal: Iranian official,0,0,0,0,0
Opposition official others charged with plotting against Rwandan government,0,0,0,0,0
EU s Tusk UK s May to talk Brexit next Tuesday,0,0,0,0,0
Trump says he has made decision on Iran deal declines to say what it is,0,0,0,0,0
Italy s center-right in search of a leader as election nears,0,0,0,0,0
U.S. must suffer painful responses from Iran after Trump speech: Guards chief,0,0,0,0,0
Russia rebukes Trump over Iran North Korea accuses U.S. of missile treaty breach,0,0,0,0,0
Leaders of far-right UK group charged with religiously aggravated harassment,0,0,0,0,0
Raqqa campaign in final stages SDF says,0,0,0,0,0
UK police arrest three in Wales over London train bomb attack,0,0,0,0,0
Dozens of states sign nuclear weapons ban treaty at United Nations,0,0,0,0,0
Islamic State targets Iranian aid convoy in eastern Syria,0,0,0,0,0
Belarus plays down Western fears of aggression stirred by joint war games with Russia,0,0,0,0,0
Saudi university to dismiss suspected Brotherhood-linked academics,0,0,0,0,0
Presumed new Swiss foreign minister seeks fresh start in EU talks,0,0,0,0,0
Saudi Arabia says hopes Kurdistan vote will not take place,0,0,0,0,0
Russia becomes Iraq Kurds top funder quiet about independence vote,0,0,0,0,0
Philippine soldiers kill nine Maoist rebels in gunbattle,0,0,0,0,0
Turkey threatens sanctions over Kurdish independence vote,0,0,0,0,0
Austria checking indications nine foreigners abducted in Libya in 2015 are dead,0,0,0,0,0
Hurricane Maria makes landfall in Puerto Rico: NHC,0,1,0,0,0
At least 10 dead 92 missing in eastern Congo floods: local official,0,0,0,0,0
Police arrest two more men over London train bomb attack,0,1,0,0,0
London police give all clear lift cordon in financial district,0,0,0,0,0
Hurricane Maria now Category 4 Puerto Rico landfall within hours: NHC,0,1,0,0,0
Fire in Bangladesh textile factory kills six,0,0,0,0,0
Kenya court: opposition didn t show presidential campaign used state resources,0,0,0,0,0
Poll gives New Zealand s Nationals nine point lead after final TV debate before vote,0,0,0,0,0
Kenya court: election board refused to give access to servers,0,0,0,0,0
FATHER HOSPITALIZED After Telling SHARIA PATROL To Stop Threatening Wife And Daughter For Violating Dress Code,1,0,1,1,1
They Fought And Died To Protect Total STRANGERS From Socialism…Why Young Voters Are Embracing The Same EVIL In America Today,1,1,1,1,1
BUCKLE UP AMERICA: Dinesh D’Souza’s Is About To EXPOSE The Democrat Party In Hillary’s America …WATCH The Powerful NEW Trailer HERE,1,1,1,1,1
OOPS! HYPOCRITE HILLARY Uses FLINT WATER CRISIS To Prop Up Campaign…Ignores Major 1992 Clinton Water Pollution Scandal,1,1,1,1,1
PEDOPHILE PIGS Send Teenage Migrant Boys To Surgery After Out-Of-Control Rape In Refugee Camps [VIDEO],1,1,1,1,1
JOKE OF THE WEEK: A Marine A Priest And A Flag Burning Hillary Supporter,1,1,1,1,1
OBAMA GIVES ILLEGAL ALIENS IN FLINT MI Amnesty So They Can Get Free Sh*t From Taxpayers,1,1,0,1,1
An OBAMA LOW LEVEL OFFENDER Gets Early Release From Prison: Brutally Murders Woman Slits Throats of 7 10 Yr Old Daughters,1,1,1,1,1
