Title,True Label,Decision Tree Prediction,Naive Bayes Prediction
Bắt giữ 2 đối tượng truy nã về tội Cố ý gây thương tích,0,1,0
Bản án nào cho đối tượng giết người trong trạng thái kích động,0,0,0
Thanh Hóa: Bắt giữ đối tượng giờ trò lưu manh ở cửa hàng điện thoại,0,0,0
Bà trùm tín dụng đen ở Hà Nam bị bắt,0,0,0
Bắt giam kẻ nổ là cán bộ Tổng cục 2 để lừa đảo chạy việc,0,0,0
Nổ quen biết lãnh đạo cao cấp Đô Chuột lừa tiền nhiều doanh nghiệp nhà hàng,0,0,0
Bắt giữ 2 nữ quái thu giữ hàng trăm vũ khí nóng,0,0,0
Đối tượng truy nã thực hiện 108 vụ trộm xe máy sa lưới,0,0,0
Đề nghị truy tố cựu Thứ trưởng Bộ Công Thương Hoàng Quốc Vượng,0,0,0
Thủ tướng Phạm Minh Chính hội đàm với Thủ tướng Trung Quốc Lý Cường,0,0,0
Lễ đón Thủ tướng Trung Quốc Lý Cường thăm chính thức Việt Nam,0,0,0
Thủ tướng Phạm Minh Chính chủ trì lễ đón Thủ tướng Trung Quốc Lý Cường,0,0,0
Trưởng Đoàn ĐBQH Đồng Nai chia sẻ kỹ năng xử lý tình huống địa bàn cơ sở,0,0,0
Thủ tướng Phạm Minh Chính chủ trì lễ đón Thủ tướng Trung Quốc Lý Cường,0,0,0
Thủ tướng Trung Quốc Lý Cường vào Lăng viếng Chủ tịch Hồ Chí Minh,0,0,0
Huyện Phú Hòa tỉnh Phú Yên trao đổi kinh nghiệm với huyện Châu Thành,0,0,0
Họp mặt doanh nhân doanh nghiệp nhân ngày Doanh nhân Việt Nam,0,0,0
UBND tỉnh Long An tổ chức Đoàn công tác kết nối hợp tác đầu tư tại Hàn Quốc,0,0,0
Lãnh đạo tỉnh Long An chào xã giao Thống đốc tỉnh Ibaraki Nhật Bản,0,0,0
Chút kỷ niệm với doanh nhân và Tạp chí Doanh Nhân Sài Gòn,0,1,1
